country,survey_year,welfare_type,gini__PIP,gini__PIP_consinc,gini__PIP_top1only,gini__PIP_topadj,top10_share__PIP,top10_share__PIP_consinc,top10_share__PIP_top1only,top10_share__PIP_topadj,top1_share__PIP,top1_share__PIP_consinc,top1_share__PIP_top1only,top1_share__PIP_topadj,top1_adjusted
Albania,2020,consumption,0.294069,0.409921,0.344925,0.449296,22.7552,29.725,28.2593,34.3674,3.47724,5.35556,8.99964,8.99964,True
Angola,2018,consumption,0.509522,0.609139,0.623389,0.696345,39.3688,48.3329,53.798,60.3706,13.721,18.9797,26.0227,26.0227,True
Armenia,2022,consumption,0.279112,0.402625,0.370385,0.475079,22.9796,30.4118,32.7888,38.9445,4.51391,6.96484,14.3798,14.3798,True
Australia,2020,income,0.335202,0.335202,0.368524,0.368524,25.6392,25.6392,29.3041,29.3041,5.03982,5.03982,6.98548,6.98548,True
Austria,2022,income,0.305036,0.305036,0.341713,0.341713,24.1648,24.1648,28.1763,28.1763,5.57275,5.57275,7.12412,7.12412,True
Bangladesh,2022,consumption,0.309092,0.432946,0.404011,0.507544,25.4663,33.2921,35.7437,42.1554,5.0392,7.67002,15.5635,15.5635,True
Belarus,2020,consumption,0.24353,0.369072,0.300449,0.413377,20.7084,27.7123,26.6588,32.785,3.68693,5.78314,9.13864,9.13864,True
Belgium,2022,income,0.262977,0.262977,0.294132,0.294132,22.183,22.183,25.4461,25.4461,5.0808,5.0808,5.91963,5.91963,True
Belize,2018,consumption,0.400787,0.507749,0.514931,0.598327,30.1056,38.008,43.519,49.5888,6.01739,8.83064,21.2446,21.2446,True
Benin,2021,consumption,0.35202,0.470035,0.419694,0.521968,27.807,35.8463,35.3505,42.2034,6.11871,9.13968,12.4626,12.4626,True
Bhutan,2022,consumption,0.284196,0.403882,0.370847,0.472931,22.6731,29.8866,32.0564,38.0551,4.2476,6.55057,13.8445,13.8445,True
Bolivia,2022,income,0.411781,0.411781,0.524188,0.524188,30.3917,30.3917,43.8393,43.8393,6.16901,6.16901,21.3602,21.3602,True
Bosnia and Herzegovina,2021,consumption,0.302726,0.419624,0.355867,0.460661,23.6033,30.8563,29.396,35.7423,4.1961,6.42547,9.44843,9.44843,True
Brazil,2022,income,0.517914,0.517914,0.606066,0.606066,40.7657,40.7657,51.8193,51.8193,10.8621,10.8621,21.2064,21.2064,True
Bulgaria,2022,income,0.380622,0.380622,0.475895,0.475895,29.9669,29.9669,40.859,40.859,7.74539,7.74539,17.5036,17.5036,True
Burkina Faso,2021,consumption,0.386308,0.505385,0.460111,0.561263,31.3273,39.8894,39.6223,46.8131,7.39429,10.8519,14.1957,14.1957,True
Burundi,2020,consumption,0.374529,0.492055,0.449512,0.549456,29.8797,38.2154,38.3278,45.3236,6.8517,10.1194,14.1015,14.1015,True
Cameroon,2021,consumption,0.425933,0.529559,0.487723,0.576822,31.54,39.496,38.9398,45.6958,6.5882,9.57102,13.1498,13.1498,True
Canada,2022,income,0.312386,0.312386,0.362331,0.362331,24.3146,24.3146,29.7899,29.7899,4.56523,4.56523,9.1306,9.1306,True
Central African Republic,2021,consumption,0.429312,0.537149,0.503025,0.593443,33.0461,41.3822,41.7492,48.6702,7.55746,10.9199,15.3059,15.3059,True
Chad,2022,consumption,0.373145,0.48822,0.431544,0.532438,29.5415,37.6707,36.0702,43.0899,6.00021,8.88634,11.4387,11.4387,True
Chile,2022,income,0.431929,0.431929,0.533224,0.533224,34.597,34.597,46.3724,46.3724,8.14924,8.14924,20.1986,20.1986,True
China,2022,consumption,0.360311,0.477445,0.435606,0.535543,28.3584,36.3781,36.8057,43.536,5.71474,8.51877,13.8192,13.8192,True
Colombia,2022,income,0.547552,0.547552,0.609626,0.609626,43.4811,43.4811,51.4158,51.4158,11.9325,11.9325,16.935,16.935,True
Comoros,2020,consumption,0.341254,0.463121,0.420827,0.524533,27.8143,35.9668,36.5402,43.363,6.01105,9.01195,14.0428,14.0428,True
Costa Rica,2022,income,0.470857,0.470857,0.544515,0.544515,35.6166,35.6166,44.6149,44.6149,7.87295,7.87295,16.5527,16.5527,True
Cote d'Ivoire,2021,consumption,0.357701,0.474814,0.418149,0.520803,28.1733,36.1436,34.8928,41.7593,5.6745,8.46831,11.4612,11.4612,True
Croatia,2022,income,0.299915,0.299915,0.346202,0.346202,23.0164,23.0164,28.0888,28.0888,4.1351,4.1351,8.43226,8.43226,True
Cyprus,2022,income,0.314676,0.314676,0.314676,0.314676,26.1879,26.1879,26.1879,26.1879,6.46921,6.46921,6.46921,6.46921,False
Czechia,2022,income,0.258433,0.258433,0.304429,0.304429,21.7843,21.7843,26.5945,26.5945,4.03574,4.03574,7.87215,7.87215,True
Democratic Republic of Congo,2020,consumption,0.445523,0.557169,0.537499,0.626982,35.6696,44.56,46.4898,53.5788,9.76297,13.9228,19.0419,19.0419,True
Denmark,2022,income,0.289524,0.289524,0.289524,0.289524,24.247,24.247,24.247,24.247,6.85721,6.85721,6.85721,6.85721,False
Djibouti,2017,consumption,0.415214,0.523612,0.4941,0.584461,32.26,40.6477,41.5038,48.4284,7.71591,11.1958,15.7976,15.7976,True
Dominican Republic,2022,income,0.369137,0.369137,0.466565,0.466565,28.2426,28.2426,39.4123,39.4123,5.85596,5.85596,17.5115,17.5115,True
Ecuador,2022,income,0.453937,0.453937,0.505531,0.505531,34.296,34.296,40.5216,40.5216,8.30902,8.30902,12.0111,12.0111,True
Egypt,2021,consumption,0.295882,0.426012,0.409504,0.51527,25.509,33.6961,37.6199,44.1577,6.12519,9.3366,17.9019,17.9019,True
El Salvador,2022,income,0.387237,0.387237,0.43913,0.43913,28.697,28.697,34.741,34.741,5.77578,5.77578,10.6653,10.6653,True
Equatorial Guinea,2022,consumption,0.385187,0.49509,0.438684,0.535643,29.1334,36.9379,35.2257,41.993,5.62253,8.31421,10.8861,10.8861,True
Estonia,2022,income,0.322191,0.322191,0.415707,0.415707,24.3854,24.3854,34.8095,34.8095,3.76246,3.76246,15.6729,15.6729,True
Ethiopia,2021,consumption,0.311284,0.430726,0.367672,0.47404,24.7708,32.3123,30.8938,37.4632,4.6516,7.08753,10.0458,10.0458,True
Fiji,2019,consumption,0.310724,0.429767,0.406627,0.505925,24.5717,32.0393,35.0812,41.1676,4.57633,6.97838,15.7442,15.7442,True
Finland,2022,income,0.276839,0.276839,0.312598,0.312598,22.8522,22.8522,26.6413,26.6413,4.88477,4.88477,6.68495,6.68495,True
France,2022,income,0.311713,0.311713,0.34806,0.34806,24.5517,24.5517,28.5303,28.5303,5.16972,5.16972,7.15413,7.15413,True
Gabon,2017,consumption,0.379794,0.48527,0.432185,0.525531,27.6898,35.1623,33.7647,40.2529,5.07488,7.53514,10.6072,10.6072,True
Gambia,2020,consumption,0.382885,0.497696,0.468928,0.564309,30.0993,38.3974,39.9091,46.714,7.06956,10.4074,16.0839,16.0839,True
Georgia,2022,consumption,0.334781,0.446013,0.45184,0.54048,25.1932,32.5908,38.4696,44.241,4.83187,7.29733,19.5053,19.5053,True
Germany,2022,income,0.329989,0.329989,0.385597,0.385597,25.5322,25.5322,31.7463,31.7463,5.8893,5.8893,10.2341,10.2341,True
Greece,2022,income,0.333239,0.333239,0.387758,0.387758,25.7053,25.7053,31.8281,31.8281,6.2009,6.2009,10.1257,10.1257,True
Grenada,2018,consumption,0.435801,0.542568,0.532581,0.617618,33.4419,41.6667,44.8985,51.3775,7.26159,10.4804,19.5473,19.5473,True
Guatemala,2023,income,0.451134,0.451134,0.555019,0.555019,34.0287,34.0287,46.6593,46.6593,7.98726,7.98726,21.3952,21.3952,True
Guinea,2018,consumption,0.299037,0.416125,0.340251,0.447242,23.3343,30.5048,27.7729,34.1599,3.95084,6.06402,7.69998,7.69998,True
Guinea-Bissau,2021,consumption,0.338394,0.456806,0.39712,0.501635,26.546,34.3125,33.0068,39.7262,5.22453,7.86878,10.8437,10.8437,True
Honduras,2023,income,0.467843,0.467843,0.566117,0.566117,32.9927,32.9927,45.5161,45.5161,6.77475,6.77475,21.0404,21.0404,True
Hungary,2017,income,0.304799,0.304799,0.361329,0.361329,23.8119,23.8119,30.0562,30.0562,5.24931,5.24931,9.96465,9.96465,True
Iceland,2019,income,0.266391,0.266391,0.266391,0.266391,22.2717,22.2717,22.2717,22.2717,5.00356,5.00356,5.00356,5.00356,False
India,2022,consumption,0.256512,0.385244,0.413062,0.511617,22.2422,29.6696,38.7451,44.2926,4.30785,6.70711,22.668,22.668,True
Indonesia,2022,consumption,0.354799,0.477094,0.45237,0.552705,29.0064,37.3572,39.7924,46.5434,6.57684,9.79247,17.1282,17.1282,True
Iran,2022,consumption,0.349365,0.463455,0.431883,0.528254,26.908,34.6469,36.21,42.6265,5.36879,8.04676,14.6779,14.6779,True
Iraq,2023,consumption,0.29742,0.419438,0.556613,0.630813,24.194,31.7278,52.4802,56.9591,4.54349,6.95954,38.5749,38.5749,True
Ireland,2022,income,0.298207,0.298207,0.350029,0.350029,24.4888,24.4888,30.0832,30.0832,6.07684,6.07684,9.19509,9.19509,True
Israel,2022,income,0.380708,0.380708,0.454142,0.454142,26.7703,26.7703,35.5099,35.5099,4.87905,4.87905,14.0011,14.0011,True
Italy,2022,income,0.336191,0.336191,0.370944,0.370944,25.2786,25.2786,29.1874,29.1874,5.05892,5.05892,7.21173,7.21173,True
Jamaica,2021,consumption,0.397932,0.503545,0.512149,0.594589,29.5057,37.2789,42.9976,48.9708,5.82803,8.57285,21.1529,21.1529,True
Japan,2020,income,0.321089,0.321089,0.376564,0.376564,24.0736,24.0736,30.2715,30.2715,4.20503,4.20503,10.0694,10.0694,True
Kazakhstan,2021,consumption,0.291785,0.42081,0.377035,0.487137,24.8049,32.6722,33.8451,40.4175,5.14133,7.87731,13.8045,13.8045,True
Kenya,2022,consumption,0.384745,0.503033,0.456438,0.557363,31.1158,39.5795,39.1565,46.2899,6.97769,10.2561,13.8168,13.8168,True
Kiribati,2023,consumption,0.250447,0.374918,0.348114,0.453288,21.1107,28.1003,31.4168,37.1562,3.49387,5.46922,14.6492,14.6492,True
Kosovo,2022,income,0.382718,0.382718,0.426604,0.426604,25.1716,25.1716,30.5051,30.5051,3.86543,3.86543,9.29192,9.29192,True
Kyrgyzstan,2022,consumption,0.263366,0.388925,0.384438,0.486259,22.0301,29.2546,34.9162,40.6229,3.9585,6.15844,18.0862,18.0862,True
Laos,2024,consumption,0.346804,0.47067,0.466754,0.564466,28.4214,36.8966,41.7044,48.3013,7.42063,11.0565,20.3174,20.3174,True
Latvia,2022,income,0.336157,0.336157,0.380786,0.380786,25.7223,25.7223,30.682,30.682,4.7384,4.7384,8.69163,8.69163,True
Lebanon,2022,consumption,0.352169,0.460913,0.46449,0.551347,25.5222,32.72,38.4925,44.1078,4.44979,6.69601,19.3201,19.3201,True
Lesotho,2017,consumption,0.449431,0.548306,0.502342,0.588341,32.9406,40.925,39.4269,46.3007,7.14073,10.2702,12.1437,12.1437,True
Lithuania,2022,income,0.364313,0.364313,0.408955,0.408955,28.6137,28.6137,33.6618,33.6618,7.3247,7.3247,9.11665,9.11665,True
Luxembourg,2022,income,0.340204,0.340204,0.388248,0.388248,25.597,25.597,31.0057,31.0057,5.32935,5.32935,9.26515,9.26515,True
Madagascar,2021,consumption,0.37331,0.491389,0.44563,0.546571,30.0014,38.3602,38.109,45.1609,6.68523,9.87715,13.6501,13.6501,True
Malawi,2019,consumption,0.38689,0.505197,0.457496,0.558584,31.163,39.7033,39.1191,46.3332,7.53625,11.0561,13.6917,13.6917,True
Malaysia,2021,income,0.407031,0.407031,0.460354,0.460354,30.9517,30.9517,37.1808,37.1808,7.29707,7.29707,11.288,11.288,True
Maldives,2019,consumption,0.29674,0.416925,0.371422,0.475639,23.6327,30.9264,31.7189,37.8868,4.07882,6.26331,12.411,12.411,True
Mali,2021,consumption,0.357643,0.475845,0.419281,0.522675,28.3181,36.3145,35.1377,42.0104,5.58641,8.33838,11.6444,11.6444,True
Malta,2022,income,0.344483,0.344483,0.398916,0.398916,27.5916,27.5916,33.6259,33.6259,6.51642,6.51642,10.3007,10.3007,True
Marshall Islands,2019,consumption,0.351699,0.465625,0.433731,0.529984,27.1913,34.8509,36.3797,42.7217,4.91389,7.36769,14.6588,14.6588,True
Mauritania,2019,consumption,0.320545,0.435611,0.372281,0.47536,24.6222,31.986,30.3249,36.7731,4.47968,6.80781,9.51294,9.51294,True
Mauritius,2017,consumption,0.366787,0.486904,0.452171,0.552591,29.8078,38.2997,39.347,46.3591,7.46492,11.0372,15.5525,15.5525,True
Mexico,2022,income,0.43386,0.43386,0.54692,0.54692,34.3675,34.3675,47.6633,47.6633,9.31429,9.31429,22.3317,22.3317,True
Moldova,2022,consumption,0.258216,0.386432,0.328852,0.441595,22.5094,29.934,29.8589,36.2243,3.99944,6.22629,11.1798,11.1798,True
Mongolia,2022,consumption,0.313988,0.432021,0.404116,0.503459,24.642,32.1001,34.5718,40.7092,4.55611,6.93939,14.9848,14.9848,True
Montenegro,2021,income,0.342461,0.342461,0.385514,0.385514,24.6507,24.6507,29.5684,29.5684,4.52892,4.52892,8.54472,8.54472,True
Mozambique,2022,consumption,0.49542,0.603072,0.578431,0.664516,40.8363,50.0425,50.7956,58.1636,12.1853,16.929,19.2265,19.2265,True
Myanmar,2017,consumption,0.306653,0.432227,0.406554,0.510705,25.5048,33.4781,36.3032,42.7936,5.6997,8.66822,16.2212,16.2212,True
Nepal,2022,consumption,0.301038,0.422447,0.378682,0.483354,24.2551,31.7791,32.6454,38.9833,4.67485,7.1513,12.9142,12.9142,True
Netherlands,2021,income,0.257129,0.257129,0.286724,0.286724,21.3497,21.3497,24.4484,24.4484,4.16083,4.16083,5.65647,5.65647,True
Niger,2021,consumption,0.336568,0.464089,0.414651,0.523582,28.4413,36.9523,36.8893,44.056,6.76568,10.1305,13.7145,13.7145,True
Nigeria,2022,consumption,0.341728,0.45751,0.40752,0.508423,26.4145,34.1569,33.7665,40.387,5.56835,8.3692,11.9708,11.9708,True
North Macedonia,2019,income,0.334895,0.334895,0.372284,0.372284,22.8905,22.8905,27.2079,27.2079,3.56436,3.56436,7.59025,7.59025,True
Norway,2022,income,0.268403,0.268403,0.312377,0.312377,21.8783,21.8783,26.5653,26.5653,4.49097,4.49097,7.71611,7.71611,True
Pakistan,2024,consumption,0.331332,0.45651,0.424632,0.528897,27.4521,35.775,37.6509,44.479,6.65351,9.99204,15.8655,15.8655,True
Palestine,2023,consumption,0.363435,0.473172,0.448585,0.540461,27.1128,34.7089,36.9231,43.1659,5.2649,7.85899,15.4302,15.4302,True
Panama,2021,income,0.507889,0.507889,0.596678,0.596678,39.3079,39.3079,50.4602,50.4602,9.81003,9.81003,20.891,20.891,True
Paraguay,2022,income,0.444522,0.444522,0.548287,0.548287,34.0507,34.0507,46.5489,46.5489,9.20403,9.20403,21.1118,21.1118,True
Peru,2022,income,0.403156,0.403156,0.552745,0.552745,30.7022,30.7022,48.3015,48.3015,6.9925,6.9925,27.2303,27.2303,True
Philippines,2021,consumption,0.372295,0.489232,0.454184,0.552422,29.4036,37.6136,38.6463,45.4442,6.57511,9.73223,15.1422,15.1422,True
Poland,2022,income,0.288341,0.288341,0.366704,0.366704,23.1223,23.1223,31.6162,31.6162,4.26156,4.26156,12.7699,12.7699,True
Portugal,2022,income,0.362118,0.362118,0.395771,0.395771,28.7461,28.7461,32.4264,32.4264,6.18218,6.18218,7.36931,7.36931,True
Qatar,2017,income,0.351205,0.351205,0.486783,0.486783,25.7647,25.7647,41.3927,41.3927,3.90177,3.90177,22.8558,22.8558,True
Romania,2022,income,0.3228,0.3228,0.399836,0.399836,22.6332,22.6332,31.4979,31.4979,3.66361,3.66361,13.2658,13.2658,True
Russia,2022,income,0.338556,0.338556,0.48026,0.48026,26.1514,26.1514,42.1254,42.1254,4.97889,4.97889,23.3277,23.3277,True
Rwanda,2023,consumption,0.398146,0.522446,0.494808,0.595391,33.668,42.8411,44.4529,51.8249,9.38304,13.6149,18.2629,18.2629,True
Sao Tome and Principe,2017,consumption,0.406139,0.521684,0.487603,0.583717,32.7081,41.3448,42.0145,49.1311,7.69374,11.1889,15.9762,15.9762,True
Senegal,2021,consumption,0.366478,0.484668,0.435396,0.537239,29.3047,37.5467,37.0176,44.0187,6.36674,9.4446,12.9604,12.9604,True
Serbia,2022,income,0.326884,0.326884,0.408967,0.408967,24.6016,24.6016,33.8772,33.8772,5.14212,5.14212,14.0973,14.0973,True
