percentile,alpha,beta,n,r2
1,-0.5746087104955797,0.7759252991966261,88,0.2799465587290375
2,-0.5583276119905938,1.0850435769071742,88,0.4993768347537588
3,-0.550544291078753,1.1568174446122854,88,0.5724735154999413
4,-0.5515450988878626,1.197863959079878,88,0.6444562468889315
5,-0.5395314409492887,1.2153037395316078,88,0.6998453493505467
6,-0.5210295212219788,1.2220957591407187,88,0.7278788227885706
7,-0.5044436741705763,1.2241472267233822,88,0.7444350761824319
8,-0.48049645528567053,1.2206480783676503,88,0.7602319355458002
9,-0.44456188887886644,1.2076127455314025,88,0.7691329555390871
10,-0.4287182653562321,1.2054172807294572,88,0.7783428120752146
11,-0.40813897588423426,1.2002204452505352,88,0.7875581205551039
12,-0.3960178618866048,1.1978811341301363,88,0.7969580497689683
13,-0.385682368140162,1.1966964724522935,88,0.8070019919631345
14,-0.374737123236833,1.1947774578839245,88,0.8144584191495421
15,-0.36926507633319033,1.1947076766873397,88,0.8192718330343698
16,-0.3605358657327458,1.193150907275976,88,0.8251439937010181
17,-0.35296377449744903,1.1924862849228683,88,0.8318388220520628
18,-0.34559831563862464,1.1914197603684802,88,0.8385155746537201
19,-0.3406109293844234,1.1908183989494243,88,0.8423256833563941
20,-0.33599419414687764,1.1899820242831363,88,0.8448032877411661
21,-0.33016389773955207,1.188443180232647,88,0.8484018450173026
22,-0.3213984213114434,1.185544875366357,88,0.8515126634523753
23,-0.3157405603740666,1.1839290104527174,88,0.853445536487594
24,-0.3125663076856219,1.1831336301293882,88,0.8549541501082056
25,-0.3086220270802543,1.1816817324073399,88,0.8556596999260826
26,-0.30465247142687085,1.1802318238262206,88,0.8569410225620896
27,-0.2981812056340543,1.178194103518422,88,0.8593151720055592
28,-0.2959719497955932,1.1780179254865135,88,0.8617138358136895
29,-0.2910034593793518,1.1764249301355947,88,0.8627506261020329
30,-0.2882617782304079,1.1755260843426456,88,0.8641578456088189
31,-0.28553579044020017,1.1748803747342675,88,0.8664459642648098
32,-0.28145726065078414,1.173135224000302,88,0.8677634389887343
33,-0.27578620054755654,1.1706812081127567,88,0.869091257533728
34,-0.27281772836798746,1.169536412788033,88,0.8703356826424253
35,-0.26935483130077686,1.1682450785921856,88,0.8720562577520597
36,-0.2687251475510933,1.1681008000563378,88,0.8738647338024939
37,-0.26413798565724966,1.1662531066991435,88,0.8742912919353731
38,-0.26514616401960595,1.1666834502585852,88,0.8760546195576733
39,-0.2635547467355642,1.1661061927036753,88,0.8774109380077092
40,-0.26282503427945303,1.1654843839727622,88,0.8772768173491051
41,-0.2554079261496344,1.1622187027707747,88,0.8780189338313493
42,-0.2509235117615611,1.1603172144625877,88,0.8784782746620095
43,-0.2513090235541534,1.1603023237372385,88,0.8785747832813349
44,-0.2483156519164698,1.1589131806432196,88,0.8784478724457705
45,-0.2426176249832958,1.156432629816392,88,0.8790401820705134
46,-0.23836369504453106,1.154437971965857,88,0.8793081293542063
47,-0.23379548235165018,1.1523596293888847,88,0.8797177965671283
48,-0.2307116998043274,1.151014438428466,88,0.8802914258832284
49,-0.2263713049580182,1.1493057952934604,88,0.8812671756384752
50,-0.22330865832301944,1.147911647072981,88,0.8817133647115281
51,-0.2160042925928859,1.145075092020511,88,0.8818997307542874
52,-0.20844199225449023,1.142001788917143,88,0.881868651062277
53,-0.20270537557503635,1.1393525556686261,88,0.8815103640857833
54,-0.19854252206334827,1.1375635311886414,88,0.881888523840347
55,-0.19336682668221325,1.135375089236563,88,0.8815627540544171
56,-0.1892375068856868,1.133742187646995,88,0.8817745851112149
57,-0.18259795778645274,1.1310149520842798,88,0.8819323867847566
58,-0.17927083274562272,1.129697432173504,88,0.8831578968087036
59,-0.1719789557347879,1.1268338876198813,88,0.8837656895240222
60,-0.16791419780324077,1.1248716928976001,88,0.8835282358381435
61,-0.16064534720193568,1.121713915798707,88,0.88343791493248
62,-0.1494383805009861,1.1172590359272048,88,0.8828111302020337
63,-0.14326858958366398,1.1148145345564973,88,0.8821508289727763
64,-0.1373299233829892,1.1124354996493298,88,0.8823430236443346
65,-0.12846347132129288,1.1089311989544868,88,0.8823196092313553
66,-0.12297699893723373,1.10694913048703,88,0.8827226965389551
67,-0.12120733211481498,1.1061936030288797,88,0.8839079289132025
68,-0.11684428140444174,1.1043384026688414,88,0.8835497495050697
69,-0.11154941851958909,1.1021325183697208,88,0.8831335526720694
70,-0.10098263858505942,1.0980029201847488,88,0.8829425572276894
71,-0.08966862630625247,1.093830084821661,88,0.8820845104978369
72,-0.07744474386295618,1.089367597406504,88,0.8804205463603713
73,-0.07103418998844087,1.0869281959022987,88,0.8790315671041246
74,-0.05774774802778602,1.0821059116942675,88,0.8780677501747117
75,-0.04602662768231138,1.078113193394754,88,0.8785713165024435
76,-0.03509509248887992,1.0741778061941003,88,0.8782033157438587
77,-0.02633824955945678,1.071038361692142,88,0.8788892717588789
78,-0.01350108064060293,1.0662959454158765,88,0.8771788448418083
79,-0.0019542079560516804,1.062450450772012,88,0.8761344092421818
80,0.009054804054839596,1.0587628219891347,88,0.8750204150350885
81,0.02689055372246453,1.0526944490750045,88,0.874024923153331
