basis,sample,series,ref_year,unweighted,weighted,n_countries,pop_coverage
filled,common,PIP,1990,0.3952120594,0.3545238094,171,0.9756186082
filled,common,PIP,1991,0.395353403,0.3541830138,171,0.9757108754
filled,common,PIP,1992,0.3953338905,0.3548946947,171,0.9755072096
filled,common,PIP,1993,0.3959766232,0.3595834099,171,0.9751027792
filled,common,PIP,1994,0.3971239141,0.3612535674,171,0.9747298923
filled,common,PIP,1995,0.3980056259,0.3644853734,171,0.9744357305
filled,common,PIP,1996,0.3981318832,0.3665480221,171,0.9741734531
filled,common,PIP,1997,0.3979819967,0.3670432245,171,0.9739393291
filled,common,PIP,1998,0.3979943403,0.3686479273,171,0.9737549575
filled,common,PIP,1999,0.3958533732,0.3701645551,171,0.9736278973
filled,common,PIP,2000,0.3950735377,0.3714446934,171,0.9735655247
filled,common,PIP,2001,0.3946702612,0.3731260988,171,0.9734907193
filled,common,PIP,2002,0.3928633322,0.3738527138,171,0.9732736033
filled,common,PIP,2003,0.3919609087,0.3732037085,171,0.9730180952
filled,common,PIP,2004,0.3917294067,0.3725203294,171,0.9728401042
filled,common,PIP,2005,0.3924370526,0.3727364938,171,0.9726625269
filled,common,PIP,2006,0.3901829521,0.3732539963,171,0.9724620672
filled,common,PIP,2007,0.387414352,0.3738977754,171,0.9723389129
filled,common,PIP,2008,0.3859557237,0.3737238416,171,0.9721989726
filled,common,PIP,2009,0.383113577,0.3725391433,171,0.9720158175
filled,common,PIP,2010,0.3813906426,0.3726519961,171,0.9718758423
filled,common,PIP,2011,0.3796311994,0.3713655017,171,0.9717408017
filled,common,PIP,2012,0.3794814175,0.3710412727,171,0.9715659076
filled,common,PIP,2013,0.3779080439,0.3655667438,171,0.9713635263
filled,common,PIP,2014,0.3772488279,0.3641263921,171,0.9711555822
filled,common,PIP,2015,0.3757270367,0.3623806703,171,0.9709639228
filled,common,PIP,2016,0.3738587896,0.3607542209,171,0.9708187294
filled,common,PIP,2017,0.371381561,0.3601830067,171,0.9707716802
filled,common,PIP,2018,0.3697690268,0.3584365648,171,0.9707880983
