country,welfare_type,year_of_info
Albania,consumption,2020
Algeria,consumption,2011
Angola,consumption,2018
Armenia,consumption,2024
Australia,income,2020
Austria,income,2023
Azerbaijan,consumption,2005
Bangladesh,consumption,2022
Barbados,consumption,2016
Belarus,consumption,2020
Belgium,income,2023
Belize,consumption,2018
Benin,consumption,2021
Bhutan,consumption,2022
Bolivia,income,2024
Bosnia and Herzegovina,consumption,2021
Botswana,consumption,2015
Brazil,income,2024
Bulgaria,income,2023
Burkina Faso,consumption,2021
Burundi,consumption,2020
Cameroon,consumption,2021
Canada,income,2022
Cape Verde,consumption,2015
Central African Republic,consumption,2021
Chad,consumption,2022
Chile,income,2024
China,consumption,2022
Colombia,income,2024
Comoros,consumption,2024
Congo,consumption,2011
Costa Rica,income,2025
Cote d'Ivoire,consumption,2021
Croatia,income,2023
Cyprus,income,2023
Czechia,income,2023
Democratic Republic of Congo,consumption,2020
Denmark,income,2023
Djibouti,consumption,2017
Dominican Republic,income,2024
East Timor,consumption,2014
Ecuador,income,2025
Egypt,consumption,2021
El Salvador,income,2023
Equatorial Guinea,consumption,2022
Estonia,income,2023
Eswatini,consumption,2016
Ethiopia,consumption,2021
Fiji,consumption,2019
Finland,income,2023
France,income,2023
Gabon,consumption,2017
Gambia,consumption,2020
Georgia,consumption,2024
Germany,income,2022
Ghana,consumption,2016
Greece,income,2023
Grenada,consumption,2018
Guatemala,income,2023
Guinea,consumption,2018
Guinea-Bissau,consumption,2021
Guyana,income,1998
Haiti,income,2012
Honduras,income,2024
Hungary,income,2017
Iceland,income,2019
India,consumption,2022
Indonesia,consumption,2025
Iran,consumption,2023
Iraq,consumption,2023
Ireland,income,2023
Israel,income,2022
Italy,income,2023
Jamaica,consumption,2021
Japan,income,2020
Jordan,consumption,2010
Kazakhstan,consumption,2021
Kenya,consumption,2022
Kiribati,consumption,2023
Kosovo,income,2022
Kyrgyzstan,consumption,2024
Laos,consumption,2024
Latvia,income,2023
Lebanon,consumption,2022
Lesotho,consumption,2017
Liberia,consumption,2016
Lithuania,income,2023
Luxembourg,income,2023
Madagascar,consumption,2021
Malawi,consumption,2019
Malaysia,income,2021
Maldives,consumption,2019
Mali,consumption,2021
Malta,income,2023
Marshall Islands,consumption,2019
Mauritania,consumption,2019
Mauritius,consumption,2017
Mexico,income,2024
Micronesia (country),consumption,2013
Moldova,consumption,2023
Mongolia,consumption,2022
Montenegro,income,2021
Morocco,consumption,2013
Mozambique,consumption,2022
Myanmar,consumption,2017
Namibia,consumption,2015
Nauru,consumption,2012
Nepal,consumption,2022
Netherlands,income,2021
Nicaragua,income,2014
Niger,consumption,2021
Nigeria,consumption,2022
North Macedonia,income,2019
Norway,income,2023
Pakistan,consumption,2024
Palestine,consumption,2023
Panama,income,2024
Papua New Guinea,consumption,2009
Paraguay,income,2024
Peru,income,2024
Philippines,income,2023
Poland,income,2023
Portugal,income,2023
Qatar,income,2017
Romania,income,2023
Russia,income,2023
Rwanda,consumption,2023
Saint Lucia,income,2015
Samoa,consumption,2013
Sao Tome and Principe,consumption,2017
Senegal,consumption,2021
Serbia,income,2023
Seychelles,income,2018
Sierra Leone,consumption,2018
Slovakia,income,2023
Slovenia,income,2023
Solomon Islands,consumption,2012
South Africa,consumption,2022
South Korea,income,2021
South Sudan,consumption,2016
Spain,income,2023
Sri Lanka,consumption,2019
Sudan,consumption,2014
Suriname,consumption,2022
Sweden,income,2023
Switzerland,income,2022
Syria,consumption,2022
Taiwan,income,2021
Tajikistan,consumption,2024
Tanzania,consumption,2018
Thailand,consumption,2024
Togo,consumption,2021
Tonga,consumption,2021
Trinidad and Tobago,income,1992
Tunisia,consumption,2021
Turkey,income,2023
Turkmenistan,consumption,1998
Tuvalu,consumption,2010
Uganda,consumption,2019
Ukraine,consumption,2020
United Arab Emirates,income,2018
United Kingdom,income,2021
United States,income,2024
Uruguay,income,2024
Uzbekistan,income,2025
Vanuatu,consumption,2019
Venezuela,income,2006
Vietnam,consumption,2022
Yemen,consumption,2014
Zambia,consumption,2022
Zimbabwe,consumption,2019
