country,year,adult_pop,total_pop
AD,2023,66704,80856
AE,2023,8397340,10642081
AF,2023,18855236,41454761
AG,2023,69943,93316
AI,2023,10797,14410
AL,2023,2160938,2811655
AM,2023,2185941,2943393
AN,2023,203570,258074
AO,2023,16517047,36749906
AR,2023,31917283,45538401
AS,2023,29704,47521
AT,2023,7385005,9130429
AU,2023,20101078,26451124
AW,2023,82318,107939
AZ,2023,7280682,10318207
BA,2023,2598087,3185073
BB,2023,214870,282336
BD,2023,105691797,171466990
BE,2023,9136595,11712893
BF,2023,10667060,23025776
BG,2023,5475487,6795803
BH,2023,1186269,1569666
BI,2023,5946565,13689450
BJ,2023,6710940,14111034
BL,2023,8039,11085
BM,2023,52409,64698
BN,2023,330007,458949
BO,2023,7384612,12244159
BQ,2023,23580,29898
BR,2023,153980281,211140729
BS,2023,297949,399440
BT,2023,548385,786385
BW,2023,1432210,2480244
BY,2023,7131244,9115680
BZ,2023,261115,411106
CA,2023,31148252,39299105
CD,2023,46059512,105789731
CF,2023,1979448,5152421
CG,2023,3010413,6182885
CH,2023,7109720,8870561
CI,2023,15050047,31165654
CK,2023,9521,14222
CL,2023,15032792,19658835
CM,2023,13472193,28372687
CN,2023,1105100625,1422584933
CO,2023,37511547,52321152
CR,2023,3758606,5105525
CS,2023,12915702,16327771
CU,2023,8723203,11019931
CV,2023,337134,522331
CW,2023,146529,185427
CY,2023,1062636,1344976
CZ,2023,8550369,10809716
DE,2023,68937242,84548231
DJ,2023,696009,1152944
DK,2023,4655625,5948136
DM,2023,50132,66510
DO,2023,7311554,11331265
DZ,2023,28553527,46164219
EC,2023,11914093,17980083
EE,2023,1075011,1367196
EG,2023,66904391,114535772
EH,2023,404060,579729
ER,2023,1707768,3470390
ES,2023,39035902,47911579
ET,2023,63614953,128691692
FI,2023,4453441,5601185
FJ,2023,590214,924145
FK,2023,2740,3477
FM,2023,64793,112630
FO,2023,39856,54714
FR,2023,52695128,68655640
GA,2023,1345441,2484789
GB,2023,52737406,68682962
GD,2023,85351,117081
GE,2023,2783974,3807492
GG,2023,51692,64017
GH,2023,18122711,33787914
GI,2023,29247,38471
GL,2023,40849,55922
GM,2023,1303547,2697845
GN,2023,6905298,14405468
GQ,2023,981807,1847549
GR,2023,8325767,10242908
