country,year,nninc_lcu_per_capita,population
AD,1990,35521.2,52597
AE,1990,229917.4,1898220
AF,1990,51437.60000000001,12045660
AG,1990,31148.2,63066
AI,1990,48935.4,8399
AL,1990,263353.5,3277966
AM,1990,872123.5,3552128
AO,1990,2320197.0,11626360
AR,1990,9948796.0,32755901
AT,1990,31899.8,7679624
AU,1990,49367.7,17126298
AW,1990,49550.60000000001,64433
AZ,1990,5181.8,7231077
BA,1990,2050.8,4448652
BB,1990,35230.7,258582
BD,1990,59179.0,111633717
BE,1990,30257.5,9960968
BF,1990,259146.4,9159356
BG,1990,12139.5,8822365
BH,1990,8267.1,514797
BI,1990,1440190.3,5587052
BJ,1990,331700.2,5281479
BM,1990,141464.2,57559
BN,1990,53117.60000000001,255292
BO,1990,13837.4,7130142
BQ,1990,49936.3,12930
BR,1990,31598.6,149143223
BS,1990,32100.6,275945
BT,1990,56342.2,589287
BW,1990,51899.0,1305696
BY,1990,10775.9,10186261
BZ,1990,8273.800000000001,183076
CA,1990,46006.60000000001,27789443
CD,1990,2714532.8,36684063
CF,1990,417028.8,2871910
CG,1990,1486079.8,2380560
CH,1990,57387.60000000001,6713173
CI,1990,803197.2000000001,12189778
CL,1990,4762438.5,13437176
CM,1990,795266.3,11331821
CN,1990,8900.7,1153582724
CO,1990,15655217.0,32440069
CR,1990,3589466.0,3121706
CU,1990,17824.9,10631799
CV,1990,140200.1,375428
CW,1990,16637.2,155739
CY,1990,11836.4,788351
CZ,1990,370967.6,10301988
DE,1990,30439.4,79707959
DJ,1990,214412.0,579538
DK,1990,258764.6,5141025
DM,1990,14675.9,69627
DO,1990,182068.5,7151166
DZ,1990,481932.4,25375810
EC,1990,3270.9,10473673
EE,1990,11858.8,1570303
EG,1990,79698.20000000001,58396618
ER,1990,4569.400000000001,2032737
ES,1990,19019.7,39084979
ET,1990,31532.6,47609755
FI,1990,27231.0,4986575
FJ,1990,7336.900000000001,773316
FM,1990,3397.7,100888
FR,1990,25989.9,58604904
GA,1990,4695499.5,983734
GB,1990,23624.6,57367862
GD,1990,13151.3,99957
GE,1990,10476.6,5448868
GG,1990,46424.9,58901
GH,1990,14362.9,15394648
GI,1990,24898.6,27200
