country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
AD,p0p1,2023,0.0,0.0,0.0,0.0,0.0,0.01
AD,p1p2,2023,0.0,0.0,0.0,0.0,0.01,0.02
AD,p2p3,2023,0.0,0.0,0.0,0.0,0.02,0.03
AD,p3p4,2023,0.0,0.0,0.0,0.0,0.03,0.04
AD,p4p5,2023,0.0,0.0,0.0,0.0,0.04,0.05
AD,p5p6,2023,5871.0,532.2,0.0012,0.0001,0.05,0.06
AD,p6p7,2023,9587.2,1596.7,0.002,0.0003,0.06,0.07
AD,p7p8,2023,13911.4,2661.1,0.0028,0.0005,0.07,0.08
AD,p8p9,2023,14029.3,3725.6,0.0029,0.0008,0.08,0.09
AD,p9p10,2023,14559.2,4790.0,0.003,0.001,0.09,0.1
AD,p10p11,2023,14997.5,5854.5,0.0031,0.0012,0.1,0.11
AD,p11p12,2023,16305.3,6919.0,0.0033,0.0014,0.11,0.12
AD,p12p13,2023,18056.0,7983.400000000001,0.0037,0.0016,0.12,0.13
AD,p13p14,2023,20714.4,9047.9,0.0042,0.0019,0.13,0.14
AD,p14p15,2023,21245.3,10112.3,0.0043,0.0021,0.14,0.15
AD,p15p16,2023,21303.4,11176.8,0.0044,0.0023,0.15,0.16
AD,p16p17,2023,21616.4,12241.2,0.0044,0.0025,0.16,0.17
AD,p17p18,2023,21752.3,13305.7,0.0045,0.0027,0.17,0.18
AD,p18p19,2023,22583.9,14370.1,0.0046,0.0029,0.18,0.19
AD,p19p20,2023,22884.1,15434.6,0.0047,0.0032,0.19,0.2
AD,p20p21,2023,23451.5,15966.8,0.0048,0.0033,0.2,0.21
AD,p21p22,2023,23511.4,16722.8,0.0048,0.0034,0.21,0.22
AD,p22p23,2023,23945.5,17552.6,0.0049,0.0036,0.22,0.23
AD,p23p24,2023,24070.1,18294.6,0.0049,0.0037,0.23,0.24
AD,p24p25,2023,24610.1,19128.8,0.005,0.0039,0.24,0.25
AD,p25p26,2023,24650.1,19829.7,0.005,0.0041,0.25,0.26
AD,p26p27,2023,25155.5,20629.4,0.0051,0.0042,0.26,0.27
AD,p27p28,2023,25605.8,21393.0,0.0052,0.0044,0.27,0.28
AD,p28p29,2023,26148.3,22102.7,0.0054,0.0045,0.28,0.29
AD,p29p30,2023,26674.4,22729.2,0.0055,0.0047,0.29,0.3
AD,p30p31,2023,26788.6,23350.1,0.0055,0.0048,0.3,0.31
AD,p31p32,2023,27145.7,23874.7,0.0056,0.0049,0.31,0.32
AD,p32p33,2023,27189.0,24480.2,0.0056,0.005,0.32,0.33
AD,p33p34,2023,27301.3,25068.4,0.0056,0.0051,0.33,0.34
AD,p34p35,2023,27372.0,25603.3,0.0056,0.0052,0.34,0.35
AD,p35p36,2023,27802.7,26309.0,0.0057,0.0054,0.35,0.36
AD,p36p37,2023,28454.9,27014.7,0.0058,0.0055,0.36,0.37
AD,p37p38,2023,29073.4,27694.3,0.006,0.0057,0.37,0.38
AD,p38p39,2023,29608.5,28287.7,0.0061,0.0058,0.38,0.39
AD,p39p40,2023,30140.0,28879.3,0.0062,0.0059,0.39,0.4
AD,p40p41,2023,30713.2,29511.4,0.0063,0.006,0.4,0.41
AD,p41p42,2023,31292.5,30164.2,0.0064,0.0062,0.41,0.42
AD,p42p43,2023,31828.1,30772.0,0.0065,0.0063,0.42,0.43
AD,p43p44,2023,32415.7,31431.4,0.0066,0.0064,0.43,0.44
AD,p44p45,2023,32981.4,32071.6,0.0068,0.0066,0.44,0.45
AD,p45p46,2023,33500.5,32668.2,0.0069,0.0067,0.45,0.46
AD,p46p47,2023,34096.5,33333.3,0.007,0.0068,0.46,0.47
AD,p47p48,2023,34760.3,34070.0,0.0071,0.007,0.47,0.48
AD,p48p49,2023,35423.1,34807.8,0.0073,0.0071,0.48,0.49
